r_multiple,max_opening_range,min_gap,breakout_start,breakout_end,trades,final_equity,total_return,win_rate,avg_trade,max_drawdown,profit_factor
2.0,0.01,0.0,09:35,10:00,54,10026.108357299809,0.002610835729980776,0.5185185185185185,0.00048567466676410043,-0.007165061354434177,1.1642891075284039
0.5,0.015,0.005,09:35,10:30,67,10026.013846865979,0.002601384686597985,0.7164179104477612,0.0003894053442470018,-0.0040846578968242175,1.1730618270196578
0.5,0.03,0.005,09:35,10:30,73,10025.8134342784,0.0025813434278398883,0.7123287671232876,0.0003552909304372673,-0.005583076492499339,1.1394550540815052
1.5,0.01,0.01,09:35,11:00,33,10024.913396539223,0.002491339653922342,0.6060606060606061,0.0007566737351987258,-0.0032685642574976637,1.2663873048053749
1.5,0.01,0.01,09:35,10:00,28,10024.224155453698,0.002422415545369816,0.6071428571428571,0.0008667275792981369,-0.0032687868549066135,1.315009702906223
0.5,0.01,0.01,09:35,10:00,28,10024.160044084472,0.0024160044084471366,0.7857142857142857,0.0008630091866223821,-0.0021258174462598367,1.5120292126684978
1.5,0.02,0.01,09:35,11:00,55,10023.76400246664,0.0023764002466639678,0.5272727272727272,0.0004365214695965453,-0.0062284766038235295,1.1105595917637372
1.5,0.03,0.01,09:35,11:00,55,10023.76400246664,0.0023764002466639678,0.5272727272727272,0.0004365214695965453,-0.0062284766038235295,1.1105595917637372
1.5,0.03,0.005,09:35,10:00,64,10023.689869560332,0.00236898695603327,0.5,0.0003743369190606829,-0.008262188130990444,1.096605659245853
2.0,0.02,0.0025,09:35,10:30,80,10022.826034613829,0.0022826034613827595,0.5,0.0002894839562805424,-0.011074782436472752,1.0778088655113829
2.0,0.01,0.01,09:35,10:00,28,10022.727058666065,0.0022727058666065503,0.6071428571428571,0.000813569130114576,-0.004316351999058998,1.2956158062766634
1.5,0.02,0.0025,09:35,10:30,80,10021.630106638855,0.0021630106638854674,0.5,0.0002743759576611382,-0.0099644953306397,1.0737266508033754
1.5,0.02,0.005,09:35,10:00,63,10021.227824073248,0.0021227824073248858,0.49206349206349204,0.0003412814706137421,-0.008262188130990444,1.086566170296551
2.0,0.015,0.0,09:35,10:30,87,10020.781299127946,0.0020781299127945463,0.5057471264367817,0.00024230571915214027,-0.013574647533217687,1.0701685332965514
2.0,0.01,0.005,09:35,11:00,53,10020.003349109953,0.0020003349109953827,0.5283018867924528,0.0003798783621913169,-0.006779270438564078,1.1246486027874874
1.5,0.02,0.01,09:35,10:00,49,10019.980177176169,0.0019980177176168734,0.5102040816326531,0.000412618926939596,-0.007127890923644298,1.1007838296920525
1.5,0.03,0.01,09:35,10:00,49,10019.980177176169,0.0019980177176168734,0.5102040816326531,0.000412618926939596,-0.007127890923644298,1.1007838296920525
0.5,0.015,0.005,09:35,10:00,58,10016.119294396143,0.0016119294396144124,0.7068965517241379,0.00027939581004539886,-0.004659289984972559,1.1199178096120972
0.5,0.03,0.005,09:35,10:00,64,10015.919079593332,0.001591907959333172,0.703125,0.00025079745062507076,-0.006520530302636218,1.094081475726405
0.5,0.02,0.005,09:35,10:30,72,10014.469723273956,0.001446972327395546,0.7083333333333334,0.00020290162829234945,-0.005583076492499339,1.078174431207395
1.5,0.03,0.005,09:35,10:30,73,10014.099066584798,0.0014099066584798425,0.5068493150684932,0.00019729610796574267,-0.009545992520314406,1.0513441996517776
2.0,0.03,0.005,09:35,10:00,64,10013.938985447783,0.001393898544778338,0.5,0.00022214997061642712,-0.009374384309504102,1.0569096815778878
1.5,0.01,0.01,09:35,10:30,32,10013.550398933094,0.0013550398933093177,0.59375,0.00042570662921096597,-0.0032685642574976637,1.1449134306884101
1.5,0.01,0.0,09:35,10:30,65,10013.237496624863,0.0013237496624862732,0.5384615384615384,0.00020608868951150344,-0.009347639383704087,1.0666158103216672
2.0,0.01,0.0025,09:35,11:00,60,10013.076652587592,0.0013076652587591386,0.5166666666666667,0.00022045153487051014,-0.007566123274861725,1.0731417025435956
1.5,0.02,0.01,09:35,10:30,54,10012.402307670978,0.001240230767097783,0.5185185185185185,0.0002344640685370917,-0.006964219305178432,1.0577132206687143
1.5,0.03,0.01,09:35,10:30,54,10012.402307670978,0.001240230767097783,0.5185185185185185,0.0002344640685370917,-0.006964219305178432,1.0577132206687143
2.0,0.02,0.01,09:35,11:00,55,10012.357041374982,0.0012357041374981836,0.5272727272727272,0.00022935785869448696,-0.0075066047423421045,1.0575573431854781
2.0,0.03,0.01,09:35,11:00,55,10012.357041374982,0.0012357041374981836,0.5272727272727272,0.00022935785869448696,-0.0075066047423421045,1.0575573431854781
2.0,0.01,0.0,09:35,10:30,65,10012.0740779863,0.0012074077986301557,0.5230769230769231,0.00018842419491485164,-0.010382182179828225,1.0606604719338857
2.0,0.01,0.01,09:35,10:30,32,10012.05489624854,0.001205489624854117,0.59375,0.00037919298617535013,-0.004316129635600019,1.1289623731448968
1.5,0.02,0.005,09:35,10:30,72,10011.639376816363,0.0011639376816363622,0.5,0.00016591369042057313,-0.009545992520314628,1.0423867787852932
2.0,0.02,0.005,09:35,10:00,63,10011.479334998907,0.0011479334998907298,0.49206349206349204,0.00018667885632116485,-0.009374384309504102,1.0468677976762628
1.5,0.015,0.0025,09:35,10:00,65,10010.891037156769,0.0010891037156768313,0.47692307692307695,0.0001711187364102738,-0.007643477531310894,1.0476254653287806
1.5,0.015,0.005,09:35,11:00,72,10010.402476284951,0.0010402476284951945,0.5,0.00014770924051278457,-0.00605125331627987,1.0421271673222252
2.0,0.015,0.0025,09:35,10:00,65,10009.42281449379,0.0009422814493789122,0.47692307692307695,0.00014876305712884741,-0.009798165263496084,1.0412213436472164
1.5,0.01,0.005,09:35,11:00,53,10008.76456426851,0.0008764564268508579,0.5283018867924528,0.00016773195500952126,-0.005907646193209493,1.0546244315568283
2.0,0.015,0.005,09:35,11:00,72,10008.753876055933,0.0008753876055933585,0.5,0.00012491428068362516,-0.007863068544888163,1.0354769862993538
2.0,0.03,0.005,09:35,10:30,73,10007.98685356145,0.0007986853561450236,0.5068493150684932,0.00011361893973040866,-0.01065674896110802,1.0291102128046994
2.0,0.01,0.005,09:35,10:00,40,10007.904119166311,0.0007904119166310952,0.525,0.00020026804333304337,-0.005981342015749402,1.0639307935298887
2.0,0.02,0.005,09:35,10:30,72,10005.528665091117,0.0005528665091116824,0.5,8.107433929308171e-05,-0.010656748961107798,1.020150675508239
2.0,0.015,0.0025,09:35,10:30,75,10004.90813486458,0.0004908134864578528,0.49333333333333335,6.907270578737709e-05,-0.011545548035144182,1.0190194200234675
1.5,0.015,0.01,09:35,11:00,50,10004.8768133166,0.0004876813316598838,0.52,0.00010121289766023889,-0.004141930839022923,1.027120734581604
2.0,0.02,0.01,09:35,10:00,49,10004.630964544493,0.00046309645444919667,0.5102040816326531,9.94922811868961e-05,-0.008404862290487092,1.0233870359222144
2.0,0.03,0.01,09:35,10:00,49,10004.630964544493,0.00046309645444919667,0.5102040816326531,9.94922811868961e-05,-0.008404862290487092,1.0233870359222144
0.5,0.02,0.005,09:35,10:00,63,10004.586563560832,0.0004586563560831092,0.6984126984126984,7.497962151005039e-05,-0.006520530302636218,1.027107686048208
1.5,0.01,0.005,09:35,10:00,40,10003.797531268261,0.00037975312682614337,0.525,9.739793422528786e-05,-0.005154045152585773,1.0307082304660076
1.5,0.015,0.0025,09:35,10:30,75,10002.746938263255,0.00027469382632561157,0.49333333333333335,4.002720890790683e-05,-0.009394662622940642,1.0106439826106572
1.5,0.015,0.005,09:35,10:00,58,10002.345413695046,0.00023454136950462612,0.4827586206896552,4.401201213565013e-05,-0.006456800102312532,1.011166788479091
1.5,0.01,0.0025,09:35,11:00,60,10001.84563697029,0.00018456369702901654,0.5166666666666667,3.305554185992395e-05,-0.0065219772358857675,1.010325348612516
0.5,0.015,0.01,09:35,11:00,50,10001.120403937683,0.00011204039376822017,0.68,2.429112799664514e-05,-0.004118595965193594,1.0086731477662843
1.5,0.015,0.01,09:35,10:00,44,10001.100117665646,0.00011001176656466605,0.5,2.8870260800958134e-05,-0.004517852792780386,1.006742778354212
2.0,0.01,0.005,09:35,10:30,48,9998.8674317383,-0.0001132568261700273,0.5208333333333334,-2.085804484102995e-05,-0.007754497774674185,0.9925950418405972
0.5,0.015,0.01,09:35,10:30,49,9997.671999870858,-0.00023280001291425823,0.673469387755102,-4.5605115151772044e-05,-0.004216373319405942,0.9819776540130255
2.0,0.02,0.01,09:35,10:30,54,9997.064703278866,-0.00029352967211349057,0.5185185185185185,-4.96693692755434e-05,-0.008295697581014116,0.9863237477111158
2.0,0.03,0.01,09:35,10:30,54,9997.064703278866,-0.00029352967211349057,0.5185185185185185,-4.96693692755434e-05,-0.008295697581014116,0.9863237477111158
2.0,0.015,0.01,09:35,11:00,50,9994.457857142777,-0.000554214285722221,0.52,-0.00010727162680386648,-0.006130537246783141,0.9691428949099633
2.0,0.01,0.0025,09:35,10:00,45,9993.713958068027,-0.0006286041931973241,0.4888888888888889,-0.00013714009250996367,-0.007719736906757091,0.9556957522261192
2.0,0.015,0.005,09:35,10:00,58,9993.58171985059,-0.0006418280149409483,0.4827586206896552,-0.00010719820034752968,-0.00806341161112989,0.9694056814873978
1.5,0.015,0.01,09:35,10:30,49,9993.536526694417,-0.000646347330558239,0.5102040816326531,-0.00012830563762847132,-0.0052707119474785236,0.9640462356914546
1.5,0.015,0.005,09:35,10:30,67,9992.775033385544,-0.0007224966614456374,0.4925373134328358,-0.00010451119753010123,-0.007887373543951304,0.9698152449641791
1.5,0.01,0.005,09:35,10:30,48,9991.140005588863,-0.0008859994411137828,0.5208333333333334,-0.00018224004033193011,-0.006874305414907522,0.9420653897243074
